jobtitle,description,contract,company,location
developpeur logiciel,"Basé au cœur des Alpes du Nord, entre lacs et montagnes, le Groupe Somfy est le pionnier de la maison connectée et affirme sa position de leader mondial des ouvertures et fermetures de la maison et du bâtiment.

Présent sur les cinq continents, Somfy innove en permanence pour un habitat offrant à ses utilisateurs du monde entier confort, bien-être et sécurité au quotidien, en lien avec sa vision « inspirer de meilleurs cadres de vie accessibles à tous ». Nous aspirons à ce que nos produits contribuent à un habitat plus sain et respectueux de l’environnement et inscrivons ces objectifs dans les solutions offertes par nos produits ainsi que dans leurs modes de production et de développement.
Vous rejoindrez les équipes de notre centre de R&D et participerez à la montée en puissance du core business Somfy (gamme « Small Actuators »), sur des projets multi métiers et dans un environnement stimulant.
Au sein d'une équipe de développement logiciel, vous serez chargé(e) de spécifier, concevoir, développer et maintenir les logiciels des produits/services en respectant les contraintes projet, la méthodologie de développement logiciel et les règles métier mises en place dans le Groupe.
Principales activités :
Issu(e) d’une formation en école d’ingénieur ou équivalent (bac +5), vous avez une première expérience dans le développement en logiciels embarqués.
Votre bon relationnel vous permet de travailler avec aisance dans des environnements multi métiers et en transversal dans le Groupe.
Vous mettez en avant la co-construction et suscitez la confrontation des idées. Vous vous montrez proactif pour l’avancement de vos sujets et stimulez l’enthousiasme et la créativité dans la résolution des problèmes.
Vos compétences techniques englobent les domaines suivants :
Vous êtes capable de comprendre et de vous exprimer en langue anglaise, y compris de manière technique (niveau B2/B2+).
Somfy s’engage auprès des personnes en situation de handicap, avec la volonté de faciliter leur intégration, d’accompagner leur évolution professionnelle et de favoriser leur maintien dans l’emploi.
Notre Groupe vous intéresse ? Vous recherchez une société ou vous développer et vous épanouir ? Rejoignez-nous !
You are interested in joining Somfy Group? You are looking for a great place to grow? Join us!
participer à la rédaction du cahier des charges fonctionnelles et techniques puis établir les spécifications logicielles ;
estimer la charge de développement en respectant l’architecture existante ou à venir ;
procéder à l’analyse du logiciel en UML, puis à son implémentation en langage C et/ou C++ ;
réaliser les tests (unitaires, d’intégration et fonctionnels), et être garant de la qualité et de la robustesse du logiciel (couverture de tests, gestion de configuration, gestion des anomalies) ;
assurer le support et les corrections lors de la qualification fonctionnelle et suivre la mise en production du produit ;
rédiger les documentations techniques ;
contribuer à l’évolution du métier (définition de standards, de briques métier avec les autres activités du Groupe) ;
êtes responsable du cycle de vie du logiciel ;
Maîtrise du cycle de développement Logiciel (Cycle en V et/ou Agile).
Langages C, C++ et Python
Très bonnes connaissances du monde temps réel et de l’embarqué.
Les outils d’intégration continue
",,Somfy,
developpeur logiciel embarque c#,"Recherche Développeur Logiciel Embarqué C# H/F
Type de contrat : CDI
Lieu : France – Poncin (01450) – 10 mn autoroute A42
Avec 120 ans d’innovation, TIFLEX, société à dimension internationale, c’est une maîtrise complète des chaînes de marquages et d’impression.
Nous fabriquons et distribuons des équipements et des consommables pour assurer la traçabilité et l’identification des produits industriels.
Nous proposons également une gamme complète de matériels et d’encres pour la sérigraphie et l’impression numérique.
De la phase d’étude à la mise en service, nos équipes sont toujours à l’écoute et impliquées dans la recherche des technologies adaptées aux besoins spécifiques de chaque client et elles s’appliquent à apporter les solutions les plus pertinentes.
Missions :
Au sein d’une équipe de 6 personnes et rattaché(e) au responsable du service, vous assurez la création et l’évolution de nos produits logiciels et matériels.
Vos missions principales sont :
Profil :
Formation Ingénieur en système embarqué ou équivalent
Expérience (minimum 4 ans) en développement logiciel embarqué et en langage C#, WPF..
Connaissance en électronique et architecture embarqué
Anglais
Une expérience dans les domaines :
Connaissance et utilisation des outils JIRA, Confluence, SVN ou équivalent serait un plus.
Votre autonomie, vos capacités d’analyse, de synthèse, d’organisation, votre créativité, votre réactivité ainsi qu’un esprit d’équipe et un bon relationnel sont des atouts pour réussir sur ce poste.
Type d'emploi : Temps plein, CDI
Horaires :
Rémunération supplémentaire :
Expérience:
Langue:
Télétravail:
Analyse des besoins exprimés (internes, externes)
Gestion, planification des projets en charge
Développement d'applications embarquées/PC, de nouvelles fonctionnalités
Maintenance évolutive et corrective d’applications existantes
Développement nouveaux produits
Rédaction documentaire techniques et fonctionnelles
Capitalisation de l’information
Force de proposition sur les choix technologiques, méthodes et bonnes pratiques de développement
Développement de systèmes embarqués à base de microcontrôleurs, FPGA…
langage C/C++
Réseau TCP/IP, Bases donnée, échanges vers automates …
Travail en journée
13ème Mois
developpeur logiciel embarque c# h/f ou similaire: 4 ans (Souhaité)
ANGLAIS (Souhaité)
Temporarily due to COVID-19
",CDI,TIFLEX,Poncin
chef de projet informatique,"Description de l'entreprise
Le groupe Socoda rassemble 200 entreprises indépendantes de négoce pour les professionnels du bâtiment et de l’industrie. Ces entreprises sont adhérentes au réseau Socoda qui leur apporte des moyens mutualisés afin de se développer et de pérenniser leurs affaires.
Description du poste
Sous la responsabilité du directeur des systèmes d’information, la mission consistera notamment à :
Depuis la mise en œuvre de projets de développement informatique technique, depuis sa phase de conception jusqu’à sa réalisation et la prise en main par les utilisateurs. (PIM et EDI)
Vous prenez en charge l’analyse des besoins, la définition de l’architecture et la conception technique des applications ainsi que la rédaction des spécifications techniques et fonctionnelles, l’analyse des impacts et conditions de déploiement technique chez les adhérents.
Vous contrôlez l’avancement des projets et participez à l’ensemble des comités de projets et de pilotage. Vous assurez la transversalité dans les relations avec l’ensemble des parties prenantes (adhérents, équipes internes et prestataires) et piloter le respect des plannings et des budgets fixés ainsi que de la satisfaction des clients.
Les qualités recherchées :
Rigueur, réactivité, autonomie, excellente capacité d’écoute et d’analyse et d’esprit de synthèse
Aisance relationnelle, pédagogie, capacité à trouver des solutions et à s’engager sur les résultats promis.
Si vous avez une certification en chefferie de projet (AGILE, PMI, PMP, SCRUM) c’est un plus.
Expériences : minimum 3 ans en tant que chef de projet au sein d’une SSII/ESN en mode Agile.
La maîtrise de l'anglais est appréciée
Poste basé à Paris 9 secteur Saint LAZARE
Statut : Cadre
Type d'emploi : Temps plein, CDI
Salaire : Jusqu'à 51 000,00€ par an
Avantages :
Horaires :
Rémunération supplémentaire :
Expérience:
Formation:
Télétravail:
Recueillir les besoins
Coordonner le projet avec la commission d’adhérents dédiée
spécifier,
organiser
planifier
former
communiquer
Participation au Transport
RTT
Titre-restaurant
Travail à Distance
Périodes de Travail de 8 Heures
13ème Mois
chef de projet informatique H/F: 3 ans (Requis)
Bac +3 (Licence / Bachelor) (Requis)
Oui, toujours
",CDI,,
chef de projet it,"LOOM est une société de conseil bordelaise spécialisée sur le pilotage de projet IT. Une équipe de 20 chef(fes)s de projet portée par 4 « Loomers » dynamiques : Christophe, Pauline, Florentine, et Barbara…et tout cela en seulement 2 ans.
Spécialisé sur la gestion de projet IT, on recherche avant tout des compétences et un état d’esprit : pas de recrutement sur mission c’est votre parcours qui nous intéresse ! : )
Nous ne sommes pas Google mais on vous promet : des missions sur Bordeaux qui vous correspondent, de la proximité, des challenges, et surtout, une vraie participation à la vie de LOOM.
Loom et vous en temps de déconfinement:
Vous le savez nous sortons d’une crise sanitaire sans précédent qui engendre notamment des ralentissements d’un point de vue économique.
LOOM n’est pas épargné et malgré la situation nous reprenons peu à peu nos activités et sommes toujours présents sur la scène bordelaise pour échanger avec nos candidat(e)s et nos client(e)s. Le business reprend, doucement mais sûrement!
Nous ne souhaitons pas changer de ligne de conduite et continuons donc nos recrutements sur profils, en privilégiant les visio pour nos entretiens! : ) Nos recrutements s’orientent davantage pour la rentrée 2021 !
Que vous soyez Scrum Master, Product Owner, Chef de projet IT ou encore chef de projet MOA/MOE avec un minimum de 2 ans d’expérience n’hésitez pas à nous faire parvenir votre candidature!
Nous vous ferons un retour quoiqu’il arrive.
Profil recherché
Et vous ?
A compétences égales, tous nos postes sont ouverts aux personnes en situation de handicap.
Entreprise
LOOM est une société de conseil bordelaise spécialisée sur le pilotage de projet IT. Une équipe de 20 chef(fes)s de projet portée par 5 « Loomers » dynamiques : Christophe, Pauline, Florentine, et Barbara…et tout cela en seulement 2 ans.
Spécialisé sur la gestion de projet IT, on recherche avant tout des compétences et un état d’esprit : pas de recrutement sur mission c’est votre parcours qui nous intéresse ! : )
Nous ne sommes pas Google mais on vous promet : des missions sur Bordeaux qui vous correspondent, de la proximité, des challenges, et surtout, une vraie participation à la vie de LOOM : meet-up, afterwork, salons professionnels…
Processus de recrutement
Chez LOOM notre processus de recrutement est simple! Que votre profil corresponde ou non à ce que nous recherchons nous vous ferons un retour! Si ce dernier est positif on vous contacte pour un premier échange par téléphone : )
A très bientôt!
Les loomers
Personne en charge du recrutement :
Florentine DEGLAIRE - Chargée des Ressources Humaines
Type d'emploi : Temps plein, CDI
Salaire : 30 000,00€ à 50 000,00€ par an
Avantages :
Horaires :
Expérience:
Formation:
Télétravail:
Vous avez déjà une première expérience en tant que chef de projet IT/Product Owner/Scrum master ou chef de projet AMOA/MOA/MOE
Vous êtes rigoureux(se), réactif(ve) et savez gérer les priorités
Vous disposez d'un excellent relationnel, d'une appétence pour les problématiques techniques et de solides compétences en gestion de projet en mode Agile
Vous êtes également sensible aux données et attentif(ve) aux tendances du marché afin d'identifier des pistes d'optimisations pour votre produit
L’anglais serait un plus.
Participation au Transport
RTT
Titre-restaurant
Du Lundi au Vendredi
chef de projet informatique H/F: 3 ans (Souhaité)
Bac +3 (Licence / Bachelor) (Souhaité)
Temporairement en raison du COVID-19
",Temps plein,LOOM,
developpeur web,"    Société spécialisée dans le bâtiment second œuvre recherche pour embauche immédiate en CDI son développeur web (h-f) Vous aurez en autonomie la mission de créer les différents supports et visuels, de mettre en place une visibilité de la société sur les nouveaux outils de communication numérique (site internet, réseaux sociaux, ...) Vous aurez en charge la conception et la gestion des dossiers dans son intégralité En contact avec l'équipe commerciale et administrative vous devrez vous adapter à l'activité saisonnière de la structure Pour postuler, transmettre CV par mail = entreprise.lor0084@pole-emploi.net
    Qualification: Technicien
    Profil recherché:
        Expérience: 3 ans
        Formation: Bac+3, Bac+4 ou équivalents
        Compétences recherchées:
            Analyser des problèmes techniques
            Analyser les besoins du client
            Concevoir et développer les programmes et applications informatiques
            Déterminer des mesures correctives
            Établir un cahier des charges
            Langages de programmation informatique
            Réaliser des études et développements informatiques
            Technologies de l'accessibilité numérique
            Traiter l'information (collecter, classer et mettre à jour)
            Sens de la communication
            Autonomie
            Réactivité",,,
developpeur web senior,"Dans le cadre d'un nouveau projet d'envergure, nous sommes à la recherche d'un Développeur Web Senior (H/F).

Vos missions

    Analyse et mise en place d'infrastructures,
    Evolution des sites web clients,
    Développement back sur différents frameworks (Laravel/Symfony),
    Optimisation des performances et de la sécurité,
    Développement multi-langues, multi-sites,
    Développement Api et Webservices.

Votre profil

    Vous faites preuve d'initiative et vos capacités d'adaptation sont reconnues,
    Vous êtes méthodique, et vous aimez relever des challenges,
    Vous possédez plus de 7 années d’expérience en développement.

Vos compétences

    PHP/SQL/CSS/JS,
    Vous maîtrisez les outils de versioning : GIT,
    Vous connaissez les bonnes pratiques en SEO,
    Vous êtes à l'aise dans la relation client, et dans la gestion de projet.

Le poste

Vous aimerez :

    Rejoindre une entreprise libérée composée d'environ 25 personnes où le bien être au travail est au cœur des attentions de la direction !,
    Travailler dans une ambiance moderne : visioconférences autour d’un café, des défis cuisines/ ou sur FIFA, du sport par écran interposé !
    Télétravailler : en raison du Covid19 toute l'agence est actuellement en télétravail pour préserver la santé de nos collaborateurs et de leurs proches (le télétravail restera possible par la suite, nous proposions 2 à 3 jours par semaine avant le confinement),
    Et la suite… quand tout danger sera écarté : vous retrouverez notre espace détente, le babyfoot, le billard, deux repas par an avec nos familles pour passer de bons moments tous ensemble,
    Sans oublier la construction de locaux flambants neufs (courant 2021) avec salle de sport, douche, coin sieste, etc..

Détails

Pour la partie administrative nous vous offrons :

    un contrat en CDI,
    une rémunération selon votre profil et votre expérience,
    un plan d'épargne-entreprise,
    une mutuelle pour vous et vos ayants-droits,
    une prime de vacances.

Type d'emploi : Temps plein, CDI

Salaire : à partir de 35 000,00€ par an

Avantages :

    Épargne salariale
    Horaires flexibles
    Participation au Transport

Horaires :

    Du Lundi au Vendredi
    Horaires flexibles
    Périodes de Travail de 8 Heures
    Repos le Week-end
    Travail en journée

Expérience:

    Développement: 7 ans (Requis)

Télétravail:

    Oui, parfois

COVID-19 Precaution(s):

    Processus de recrutement à distance
    Équipement de protection individuel fourni ou requis
    Consignes de distanciation sociale
    Entretiens virtuels
    Procédures renforcées de désinfection et de nettoyage

- Publiée à l'instantSignaler un abus
Emplois Développeur Web (H/F) dont la localisation est Obernai (67)
Emplois pour Agence Webcd dont la localisation est Obernai (67)
Salaires de Développeur Web (H/F) à proximité de Obernai (67)",CDI,,
Analyste Senior Risque Pays,"Chez Natixis, nous concevons des solutions en gestion d'actifs et de fortune, financement, investissement, assurance et paiements. Notre ambition : nous dépasser collectivement pour mieux accompagner nos clients et leur proposer les meilleures solutions pour leur développement.  Chez Natixis, nos talents sont notre principal atout.  Rejoignez-nous et vous aurez les clés pour faire bouger les choses et avoir un réel IMPACT. Rejoignez-nous et vous découvrirez un monde d'OPPORTUNITÉS. Rejoignez-nous et vous donnerez du sens à votre poste par votre ENGAGEMENT en faveur de la société comme de l'environnement.  Signataire de la Charte de la diversité, Natixis veille à promouvoir tous les talents et à accompagner le développement de chacun de ses 16 000 collaborateurs présents dans 38 pays. Pour la 4e année consécutive, elle est certifiée Top Employer France 2021.  Vous rejoindrez l'équipe du risque pays de la direction des risques de Natixis SA. Cette équipe est composée de trois analystes pays et est responsable de l'analyse risque pays pour l'ensemble des entités du groupe BPCE.   Et voilà à quoi va ressembler votre quotidien avec nous :      Suivi pays d'une zone géographique     Rédaction d'avis et d'analyses risque sur les pays de votre zone     Participation aux Comités de Crédit     Echanges permanent avec les autres services de la DR Natixis, avec la DR BPCE, avec l'ensemble des métiers de la banque, les responsables des plateformes, les correspondants risques à l'étranger, la recherche économique...     Participations actives aux activités transverses : notation, limite pays, travaux liés aux régulateurs...     Responsabilité du service en l'absence du manager     Possibilité de déplacements   Localisation: 68-76 Quai de la Rapée, 75012 Paris       De Formation supérieure, vous avez une solide formation en économie internationale,  Vous êtes doté d'une expérience bancaire sur l'international et une solide culture générale sur l'actualité et la politique internationale,  Vous avez un esprit synthétique et vous vous exprimez clairement,  Vous faites preuve d'une aisance rédactionnelle en français et en anglais.",CDI,Natixis,Paris
ANALYSTE RISQUES IT & CYBERSECURITÉ H/F,"ANALYSTE RISQUES IT & CYBERSECURITÉ H/F (NUMÉRO DE L'EMPLOI : !I_ITG_ITRMG_1098)   Concrètement votre quotidien ?  Rattaché à ITG_ITRMG, vous assurerez un rôle de coverage pour le pôle Domestic Markets (DM). A ce titre, vous accompagnerez les entités DM dans la gestion du risk IT et Cyber.   Vous vous assurerez de la bonne prise en compte des exigences du cadre de gouvernance, et du renforcement des pratiques de gestion du risque IT et Cyber au sein des entités.  Vous vérifierez également que la cible et actions prioritaires identifiées par les Cyber & IT Risk Officer (ITRO) des entités intègrent bien les priorités du Groupe et du pôle.   Vous faciliterez la relation entre ITRMG et les entités afin de gagner en efficacité, en assurant la mise en relation avec les experts IT Risk, en fournissant et expliquant les règles à appliquer, en partageant les bonnes pratiques entre les différentes entités.  Vous serez l'interlocuteur privilégié des ITROs des entités et leur apporterez support et conseil. Vous assurerez également un rôle de contrôle et de challenge auprès des différentes identités sur l'avancement de leur roadmap.  Vous contribuerez et participerez aux différentes instances de pilotage des risques IT et cyber des entités pour lesquelles vous serez référent.  Vous serez également acteur de la mise en place et de l'animation de la communauté des ITROs Domestic Markets.  Enfin vous contribuerez à l'amélioration du cadre de référence ITRMG, en partageant votre analyse des retours collectés auprès des entités.  Les missions c'est important mais l'équipe et l'environnement de travail aussi!  Vous intégrerez l’équipe Coverage DM composée de 4 personnes et serez amené à travailler quotidiennement avec l'ensemble des équipes ITRMG sur les thématiques Cyber & IT Risk.  A votre arrivée, vous bénéficierez des formations nécessaires à votre montée en compétences, en particulier sur la gestion des risques IT et les sujets Cyber afin d'être en mesure de dialoguer avec les experts.  Vous serez localisé à Montreuil dans les locaux de Valmy 1 facilement accessibles en transport en commun (Ligne 9 ""Porte de Montreuil"" ou Ligne 1 ""Saint-Mandé""). Ces locaux bénéficient de tous les avantages du flex-office.   Et après ?   Ce poste vous permettra d'acquérir des compétences à forte valeur ajoutée en matière de gestion des risques IT, qui est un enjeu majeur pour le Groupe aujourd'hui.  Vous acquerrez ou développerez également vos capacités d'analyse et de synthèse.   Ce poste vous permettra également d'avoir une vision transverse de l'ensemble des entités Domestic Markets et de leurs enjeux. Vous pourrez ensuite poursuivre votre développement personnel en évoluant au sein de la communauté Cyber & IT Risk Management, afin de développer votre expertise sur d’autres thématiques de Risk IT.  Et la rémunération ?  C'est un sujet important, qui sera bien sûr abordé. Votre formation et votre expérience seront valorisées et prises en compte  Pourquoi rejoindre BNP Paribas ?  Notre monde change : notre manière de nous informer, de consommer… et de travailler aussi ! Aujourd’hui, ce qui compte dans un job, c’est de vivre de véritables expériences, d’apprendre, de partager objectifs et résultats avec ses collègues. Bref, de tracer son propre chemin, différent, responsable et durable.  Chez BNP Paribas, nous recrutons nos collaborateurs avec l’idée qu’ils nous aideront à concevoir le monde et la banque de demain.   Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur : https://group.bnpparibas/emploi-carriere/bnp-paribas  Etes-vous notre Analyste Risques IT & Cybersécurité ?  Oui si vous avez un bac+5 et une expérience professionnelle de minimum 10 ans en Gestion des risques IT et en Production IT.  Vous avez de bonnes connaissances en informatique, en Sécurité informatique et cyber sécurité ainsi que des connaissances des risques et sensibilisations aux risques.  Vous possédez un niveau d’anglais intermédiaire.  Vous êtes reconnus pour votre capacité de collaboration et votre capacité à communiquer à l’oral et a l’écrit.   Vous avez la capacité à comprendre, expliquer et conduire le changement. Reconnu pour être synthétique vous êtes en capacité d’animer des réunions ou des séminaires.  Dans un monde qui change, la diversité, l’équité et l’inclusion sont des valeurs clés pour le bien-être et la performance des équipes. Chez BNP Paribas, nous souhaitons accueillir et retenir tous les talents sans distinction : c’est ainsi que nous construirons, ensemble, la finance de demain, innovante, responsable et durable.  Enfin, nous attachons une importance particulière à ce que nos futurs collaborateurs agissent au quotidien avec responsabilité éthique et professionnelle.  À tout moment pendant le processus de recrutement, les informations figurant sur votre CV, vos données d’identification et vos antécédents pourront être vérifiés.   Lieu principal : FR-Île-de-France-MONTREUIL Type d'emploi : CDI Domaine d'activité : INFORMATIQUE Niveau d'Etudes: Non indiqué Niveau d'expérience: Au moins 10 ans Horaire : Temps plein Langue (1) : Anglais - Niveau - Langue (1) : Intermédiaire",CDI,BNP PARIBAS,Montreuil
Ingénieur R&D Procédés / Hydrogène,"ENGIE est un acteur mondial de l’énergie, résolument engagé dans la transition énergétique et expert dans 3 métiers : Energies renouvelables, gaz, services.  ENGIE compte 170 000 collaborateurs, nos clients, nos partenaires et nos parties prenantes, nous formons une communauté d’Imaginative Builders, engagés chaque jour pour un progrès plus harmonieux.  Avec un chiffre d’affaires en 2020 : 55,8 milliards d’euros. A la recherche de professionnelles et professionnels inventifs et audacieux pour incarner le futur de l’énergie au service de ses clients, ENGIE recrute des milliers de talents à travers le monde.  Rejoignez un univers de travail épanouissant et innovant, favorisant l’agilité et la créativité afin de répondre aux enjeux énergétiques d’aujourd’hui et de demain.  ENGIE Lab CRIGEN est le centre de recherche corporate du Groupe ENGIE dédié aux nouveaux gaz, aux nouveaux usages de l’énergie, aux solutions digitales et aux technologies émergentes.  Situé en région parisienne à Stains (93), il compte 180 collaborateurs.  Il fournit des applications industrielles testées, éprouvées et commercialisables, ainsi que de nouvelles offres basées sur le développement et la mise en commun d'idées innovantes, de connaissances scientifiques et d'expertise technique.  Sa capacité à innover constitue un avantage clé pour le Groupe ENGIE.  Le Lab Hydrogène est spécialisé, entre autres, en génie des procédés et en électrochimie pour le développement de solutions sur toute la chaîne de l’hydrogène, des différents moyens de production, transport, stockage, conversion aux multiples usages.  Ses objectifs sont de :      Réduire les coûts sur toute la chaîne de valeur de l’hydrogène vert,     Identifier, valider et intégrer les solutions innovantes permettant de répondre aux besoins des clients du Groupe dans le cadre de la transition zéro-carbone,     Valoriser les infrastructures gazières existantes.   Ainsi, le Lab Hydrogène d’ENGIE Lab CRIGEN souhaite renforcer ses effectifs et recherche :  Un Ingénieur R&D Procédés / Hydrogène (H/F)  Poste basé à Stains (93)  Rattaché(e) au Chef de Lab Hydrogène, vous :      Effectuez des modélisations et des simulations de procédés,     Intervenez sur des pilotes expérimentaux,     Développez de nouvelles solutions liées à l’hydrogène, aux e-fuels et « power-to-X » et participez à leur validation jusqu’à l’industrialisation,     Garantissez la réussite technique et la qualité des livrables ,     Participez à des travaux à caractère scientifique pointu, des expertises et des sujets pluridisciplinaires,     Assurez une veille technologique et développez votre domaine d’expertise,     Contribuez à des groupes de travail, intervenez en appui technique à des projets R&D collaboratifs complexes et travaillez avec les partenaires,     Diffusez et valorisez les résultats obtenus et contribuez au développement de business de ces activités.   A moyen terme, vous pourrez évoluer vers des postes à responsabilités dans la gestion de projets. Qualifications  De formation Bac +5 (Ingénieur ou Universitaire) en Génie des Procédés, vous souhaitez développer des compétences dans le domaine des gaz verts, notamment en modélisation et simulation de procédés en R&D appliquée . Vous aspirez à intervenir dans les processus thermochimiques de la chaîne de valeur de l’hydrogène (production, transport, stockage, usages) et dans les filières de production de gaz renouvelables (électrolyse, méthanisation, gazéification). Vous avez une appétence pour les énergies renouvelables et vous intéressez au contexte énergétique français et européen.  Une connaissance des outils de modélisation et de simulation de procédés (Aspen Hysys, COMSOL…) est un plus.  La maîtrise de l’anglais est nécessaire et des déplacements ponctuels en France et à l'international sont à prévoir.  Organisé(e), autonome et réactif(ve), vous faites preuve de capacités d'analyse, de synthèse, de recul et de qualités rédactionnelles. Doté(e) du sens du résultat et du service client, vous êtes curieux(se), force de proposition et appréciez l’innovation. Vous avez de bonnes dispositions relationnelles et de communication vous permettant de vous intégrer à une équipe R&D, de développer des contacts avec les partenaires et d’intervenir dans des groupes de travail. Emploi : R & D / Laboratoires Lieu principal : Europe-France-Île-de-France-Stains Organisation : Fonctions Opérationnelles Horaire : Temps plein  Publication d'offre : 26 oct. 2021, 11:11:13 Type d'emploi : CDI",CDI,ENGIE,STAINS
Ingénieur Développement (R&D),"Vos missions  Rattaché au département innovation, votre mission s'articulera autour des axes suivants :      Coordonne les développements de nouveaux produits dans le cadre du processus d'innovation et de conception (équipements destinés in fine au traitement de l'eau dans l'habitat collectif et individuel).      Assure la gestion des essais de nouveaux matériels : élaboration des protocoles des tests, participe à la mise en oeuvre et suivi des essais, ainsi qu'à la rédaction des rapports techniques de performance.      L'amélioration continue des produits standards : analyse des non-conformités issues du terrain et de la production, suivi d'actions correctives et mise en place d'actions d'améliorations en cohérence avec le cycle de vie des produits concernés et les évolutions des besoins des marchés.  Profil attendu  Formation supérieure école d'ingénieur généraliste avec une spécialisation en mécanique, hydraulique.  Poste ouvert aux Ingénieurs débutants ayant effectués une alternance ou des stages dans le domaine du traitement d'eau. Des connaissances en électronique sont un plus.  Curieux, Organisé, rigoureux et méthodique, votre relationnel vous permet de travailler en mode projet.  Anglais opérationnel requis  Nous vous offrons : salaire sur 13 mois + intéressement + participation + mutuelle + restaurant entreprise + CSE  Poste basé au 103, rue Charles Michels 93206 Saint - Denis  A propos de nous Le groupe BWT - Best Water Technology est aujourd’hui le leader européen du traitement de l’eau. Plus de 4 700 collaborateurs oeuvrent dans le monde pour offrir aux clients (particuliers et professionnels, à l’industrie, à l’hôtellerie et aux collectivités) la meilleure eau qui soit, à tout moment de la journée.  5 000 salariés Plus de 5 000 salariés, dont 600 en France, s’investissent pour demain et préserver notre ressource eau.  Développement professionnel Nous accompagnons nos collaborateurs dans leur développement professionnel et personnel et leur offrons des opportunités de formation.  Qualité de vie au travail Nous veillons à offrir le meilleur environnement de travail à nos collaborateurs pour assurer leur sécurité et bien-être.  Type d'emploi : CDI",CDI,BWT,SAINT DENIS
