name,summary
2G,"The Global System for Mobile Communications (GSM) is a standard developed by the European Telecommunications Standards Institute (ETSI) to describe the protocols for second-generation (2G) digital cellular networks used by mobile devices such as mobile phones and tablets. GSM is also a trade mark owned by the GSM Association. GSM may also refer to the Full Rate voice codec.It was first implemented in Finland in December 1991. By the mid-2010s, it became a global standard for mobile communications achieving over 90% market share, and operating in over 193 countries and territories.2G networks developed as a replacement for first generation (1G) analog cellular networks. The GSM standard originally described a digital, circuit-switched network optimized for full duplex voice telephony. This expanded over time to include data communications, first by circuit-switched transport, then by packet data transport via General Packet Radio Service (GPRS), and Enhanced Data Rates for GSM Evolution (EDGE).
Subsequently, the 3GPP developed third-generation (3G) UMTS standards, followed by the fourth-generation (4G) LTE Advanced and the fifth-generation 5G standards, which do not form part of the ETSI GSM standard.
As a result of the network's widespread use across Europe, the acronym ""GSM"" was briefly used as a generic term for mobile phones in France, the Netherlands, Bulgaria and in Belgium. A great number of people in Belgium still use it to date. Beginning in the late 2010s, various carriers worldwide started to shut down their GSM networks..
"
3G,"The Global System for Mobile Communications (GSM) is a standard developed by the European Telecommunications Standards Institute (ETSI) to describe the protocols for second-generation (2G) digital cellular networks used by mobile devices such as mobile phones and tablets. GSM is also a trade mark owned by the GSM Association. GSM may also refer to the Full Rate voice codec.It was first implemented in Finland in December 1991. By the mid-2010s, it became a global standard for mobile communications achieving over 90% market share, and operating in over 193 countries and territories.2G networks developed as a replacement for first generation (1G) analog cellular networks. The GSM standard originally described a digital, circuit-switched network optimized for full duplex voice telephony. This expanded over time to include data communications, first by circuit-switched transport, then by packet data transport via General Packet Radio Service (GPRS), and Enhanced Data Rates for GSM Evolution (EDGE).
Subsequently, the 3GPP developed third-generation (3G) UMTS standards, followed by the fourth-generation (4G) LTE Advanced and the fifth-generation 5G standards, which do not form part of the ETSI GSM standard.
As a result of the network's widespread use across Europe, the acronym ""GSM"" was briefly used as a generic term for mobile phones in France, the Netherlands, Bulgaria and in Belgium. A great number of people in Belgium still use it to date. Beginning in the late 2010s, various carriers worldwide started to shut down their GSM networks..
"
4G,"The Global System for Mobile Communications (GSM) is a standard developed by the European Telecommunications Standards Institute (ETSI) to describe the protocols for second-generation (2G) digital cellular networks used by mobile devices such as mobile phones and tablets. GSM is also a trade mark owned by the GSM Association. GSM may also refer to the Full Rate voice codec.It was first implemented in Finland in December 1991. By the mid-2010s, it became a global standard for mobile communications achieving over 90% market share, and operating in over 193 countries and territories.2G networks developed as a replacement for first generation (1G) analog cellular networks. The GSM standard originally described a digital, circuit-switched network optimized for full duplex voice telephony. This expanded over time to include data communications, first by circuit-switched transport, then by packet data transport via General Packet Radio Service (GPRS), and Enhanced Data Rates for GSM Evolution (EDGE).
Subsequently, the 3GPP developed third-generation (3G) UMTS standards, followed by the fourth-generation (4G) LTE Advanced and the fifth-generation 5G standards, which do not form part of the ETSI GSM standard.
As a result of the network's widespread use across Europe, the acronym ""GSM"" was briefly used as a generic term for mobile phones in France, the Netherlands, Bulgaria and in Belgium. A great number of people in Belgium still use it to date. Beginning in the late 2010s, various carriers worldwide started to shut down their GSM networks..
"
5G,"The Global System for Mobile Communications (GSM) is a standard developed by the European Telecommunications Standards Institute (ETSI) to describe the protocols for second-generation (2G) digital cellular networks used by mobile devices such as mobile phones and tablets. GSM is also a trade mark owned by the GSM Association. GSM may also refer to the Full Rate voice codec.It was first implemented in Finland in December 1991. By the mid-2010s, it became a global standard for mobile communications achieving over 90% market share, and operating in over 193 countries and territories.2G networks developed as a replacement for first generation (1G) analog cellular networks. The GSM standard originally described a digital, circuit-switched network optimized for full duplex voice telephony. This expanded over time to include data communications, first by circuit-switched transport, then by packet data transport via General Packet Radio Service (GPRS), and Enhanced Data Rates for GSM Evolution (EDGE).
Subsequently, the 3GPP developed third-generation (3G) UMTS standards, followed by the fourth-generation (4G) LTE Advanced and the fifth-generation 5G standards, which do not form part of the ETSI GSM standard.
As a result of the network's widespread use across Europe, the acronym ""GSM"" was briefly used as a generic term for mobile phones in France, the Netherlands, Bulgaria and in Belgium. A great number of people in Belgium still use it to date. Beginning in the late 2010s, various carriers worldwide started to shut down their GSM networks..
"
AR,"Une analyse de risques est utilisée comme première étape d'un processus d'évaluation des risques. Le résultat d’une analyse des dangers est l’identification de différents types de dangers. Un danger est une condition potentielle et existe ou non (la probabilité est de 1 ou 0). Il peut, en une seule existence ou en combinaison avec d’autres dangers (parfois appelés événements), devenir un véritable échec ou accident fonctionnel (accident). La façon dont cela se passe exactement dans une séquence particulière s'appelle un scénario. Ce scénario a une probabilité d'occurrence (entre 1 et 0). Un système comporte souvent de nombreux scénarios de défaillance potentiels. Une classification lui est également attribuée, en fonction de la pire gravité de la condition finale. Le risque est la combinaison de la probabilité et de la gravité. Des niveaux de risque préliminaires peuvent être fournis dans l’analyse des dangers. La validation, la prédiction plus précise (vérification) et l'acceptation du risque sont déterminées dans l'évaluation du risque (analyse). L’objectif principal de l’un et de l’autre est de fournir la meilleure sélection de moyens permettant de contrôler ou d’éliminer le risque. Le terme est utilisé dans plusieurs spécialités de l'ingénierie, notamment l'avionique, la sécurité des processus chimiques, la sécurité, la fiabilité, la sécurité alimentaire.
Les analyses de risques peuvent être menées suivant la norme AMDEC (NF EN IEC 60812), ou suivant la démarche EBIOS pour les études de risques en matière de sécurité informatique. Ces démarches diffèrent d'autres démarches telle la DO-178B (qui n'est pas une norme mais bien une démarche employée dans le secteur de l'aéronautique).
Il faut savoir que l'analyse de risque en général est une démarche récente (datant de la fin du XXe siècle) qui n'a connu à ce jour aucun consensus normatif, seulement des démarches et des guides de recommandations (spécifiques à des secteurs d'activité)..
"
Amélioration continue des processus,"Le processus d'amélioration continue consiste en un effort continu pour améliorer les produits, les services ou les processus. Ces efforts peuvent viser à apporter des petites améliorations à intervalles réguliers (de façon incrémentale) ou, au contraire, à regrouper toutes les améliorations dans une implémentation globale. L'efficience, la praticabilité et la flexibilité des processus ayant un impact sur le client sont constamment évalués et améliorés.
Certains considèrent le processus d'amélioration continue, comme un méta-processus de la plupart des systèmes de gestion (comme la gestion des processus, le management de la qualité, la gestion de projet et la gestion de programme). W. Edwards Deming, pionnier en cette matière, voyait cette démarche comme faisant partie d'un « système » dans lequel les feedbacks venant des processus et des clients étaient évalués par rapport aux objectifs de l'organisation. Le fait que la démarche s'intègre dans la gestion des processus ne signifie pas qu'elle doit être exécutée par le management ; mais simplement que celui-ci prend les décisions de mise en œuvre du processus ainsi que celles relatives à sa conception.
Une définition plus large est celle du Chartered Quality Institute qui a défini l'amélioration continue comme étant un changement graduel et perpétuel, axé sur l'accroissement de l'efficience et/ou des résultats d'une organisation, afin de lui permettre d'atteindre ses objectifs. Cela ne se limite pas à des initiatives relatives à la qualité. L'amélioration de la stratégie de l'entreprise, des résultats, des relations avec clients, employés et fournisseurs peuvent faire partie de la politique d'amélioration continue. Autrement dit, cela signifie « faire mieux, toujours mieux »..
"
Amélioration des processus,"Le processus d'amélioration continue consiste en un effort continu pour améliorer les produits, les services ou les processus. Ces efforts peuvent viser à apporter des petites améliorations à intervalles réguliers (de façon incrémentale) ou, au contraire, à regrouper toutes les améliorations dans une implémentation globale. L'efficience, la praticabilité et la flexibilité des processus ayant un impact sur le client sont constamment évalués et améliorés.
Certains considèrent le processus d'amélioration continue, comme un méta-processus de la plupart des systèmes de gestion (comme la gestion des processus, le management de la qualité, la gestion de projet et la gestion de programme). W. Edwards Deming, pionnier en cette matière, voyait cette démarche comme faisant partie d'un « système » dans lequel les feedbacks venant des processus et des clients étaient évalués par rapport aux objectifs de l'organisation. Le fait que la démarche s'intègre dans la gestion des processus ne signifie pas qu'elle doit être exécutée par le management ; mais simplement que celui-ci prend les décisions de mise en œuvre du processus ainsi que celles relatives à sa conception.
Une définition plus large est celle du Chartered Quality Institute qui a défini l'amélioration continue comme étant un changement graduel et perpétuel, axé sur l'accroissement de l'efficience et/ou des résultats d'une organisation, afin de lui permettre d'atteindre ses objectifs. Cela ne se limite pas à des initiatives relatives à la qualité. L'amélioration de la stratégie de l'entreprise, des résultats, des relations avec clients, employés et fournisseurs peuvent faire partie de la politique d'amélioration continue. Autrement dit, cela signifie « faire mieux, toujours mieux »..
"
Analyse Big Data,"L’analyse des données (aussi appelée analyse exploratoire des données ou AED) est une famille de méthodes statistiques dont les principales caractéristiques sont d'être multidimensionnelles et descriptives. Dans l'acception française, la terminologie « analyse des données » désigne donc un sous-ensemble de ce qui est appelé plus généralement la statistique multivariée. Certaines méthodes, pour la plupart géométriques, aident à faire ressortir les relations pouvant exister entre les différentes données et à en tirer une information statistique qui permet de décrire de façon plus succincte les principales informations contenues dans ces données. D'autres techniques permettent de regrouper les données de façon à faire apparaître clairement ce qui les rend homogènes, et ainsi mieux les connaître.
L’analyse des données permet de traiter un nombre très important de données et de dégager les aspects les plus intéressants de la structure de celles-ci. Le succès de cette discipline dans les dernières années est dû, dans une large mesure, aux représentations graphiques fournies. Ces graphiques peuvent mettre en évidence des relations difficilement saisies par l’analyse directe des données ; mais surtout, ces représentations ne sont pas liées à une opinion « a priori » sur les lois des phénomènes analysés contrairement aux méthodes de la statistique classique.
Les fondements mathématiques de l’analyse des données ont commencé à se développer au début du XXe siècle, mais ce sont les ordinateurs qui ont rendu cette discipline opérationnelle, et qui en ont permis une utilisation très étendue. Mathématiques et informatique sont ici intimement liées..
"
Analyse de données,"L’analyse des données (aussi appelée analyse exploratoire des données ou AED) est une famille de méthodes statistiques dont les principales caractéristiques sont d'être multidimensionnelles et descriptives. Dans l'acception française, la terminologie « analyse des données » désigne donc un sous-ensemble de ce qui est appelé plus généralement la statistique multivariée. Certaines méthodes, pour la plupart géométriques, aident à faire ressortir les relations pouvant exister entre les différentes données et à en tirer une information statistique qui permet de décrire de façon plus succincte les principales informations contenues dans ces données. D'autres techniques permettent de regrouper les données de façon à faire apparaître clairement ce qui les rend homogènes, et ainsi mieux les connaître.
L’analyse des données permet de traiter un nombre très important de données et de dégager les aspects les plus intéressants de la structure de celles-ci. Le succès de cette discipline dans les dernières années est dû, dans une large mesure, aux représentations graphiques fournies. Ces graphiques peuvent mettre en évidence des relations difficilement saisies par l’analyse directe des données ; mais surtout, ces représentations ne sont pas liées à une opinion « a priori » sur les lois des phénomènes analysés contrairement aux méthodes de la statistique classique.
Les fondements mathématiques de l’analyse des données ont commencé à se développer au début du XXe siècle, mais ce sont les ordinateurs qui ont rendu cette discipline opérationnelle, et qui en ont permis une utilisation très étendue. Mathématiques et informatique sont ici intimement liées..
"
Analyse de marché,"Une étude de marché est une activité d'exploitation marketing destinée à analyser, comprendre et mesurer  le fonctionnement réel des forces à l'œuvre dans le cadre d'un marché.
Il s'agit d'une activité typiquement mise en œuvre dans le cadre de la démarche du marketing management.
Concrètement — une fois établi le périmètre à observer — cela recouvre l'étude des comportements, des appréciations, des besoins et des attentes des demandeurs et offreurs présents sur ce marché, ainsi que celles des conditions selon lesquelles ceux-ci agissent (ou non) pour réaliser les échanges correspondants à la satisfaction de leurs buts et intérêts.
Les études de marché utilisent des techniques quantitatives telles que le sondage, les panels, et des techniques qualitatives telles que les entretiens individualisés, les réunions de groupes. Les informations peuvent être recueillies :

soit directement auprès des personnes qui peuvent être consultées par l'intermédiaire d'enquêteurs (interviews en face à face à domicile ou en salle, téléphone, dans la rue…) ou de façon auto administrée (soumission d'un questionnaire papier ou d'un questionnaire-formulaire par Internet).
soit par recherches documentaires, compilation et analyse de toutes informations émanant de sources existantes et pertinentes (sources primaires, publications légales ou financières, résultats de processus de veille ou d'intelligence économique, travaux académiques, etc.)..
"
